Year,Ent_Key,Entity,Type of crime,Sex,Age range,January,February,March,April,May,June,July,August,September,October,November,December
2015,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Kidnapping,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),0,1,0,0,0,0,0,0,0,0,0,1
2015,6,Colima,Extortion,Women,Adults (18 and over),1,1,0,0,0,0,0,0,1,0,0,0
2015,6,Colima,Kidnapping,Women,Adults (18 and over),0,0,0,0,0,0,1,0,0,0,0,0
2015,6,Colima,Other crimes that threaten personal freedom,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Extortion,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Femicide,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Kidnapping,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Extortion,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,1
2015,6,Colima,Kidnapping,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),0,1,0,1,0,0,1,3,0,0,2,6
2015,6,Colima,Femicide,Man,Adults (18 and over),0,1,0,0,1,0,0,0,0,0,0,0
2015,6,Colima,Kidnapping,Man,not specified,0,0,0,0,1,0,0,0,3,2,0,0
2015,6,Colima,Kidnapping,Man,not specified,0,0,0,0,0,1,0,0,0,0,0,1
2015,6,Colima,Kidnapping,Man,not specified,0,0,0,0,0,1,0,0,0,0,1,1
2015,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Kidnapping,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Kidnapping,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2015,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,1
2016,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Other crimes that threaten life and bodily integrity,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),1,2,0,0,0,0,0,0,0,0,1,0
2016,6,Colima,Homicide,Women,Adults (18 and over),0,1,3,3,1,3,0,2,5,1,2,2
2016,6,Colima,Homicide,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Homicide,Women,Adults (18 and over),0,1,1,0,0,0,1,0,0,0,0,1
2016,6,Colima,Other crimes that threaten life and bodily integrity,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),3,2,1,0,0,0,0,0,0,2,1,0
2016,6,Colima,Homicide,Women,not specified,0,0,0,0,0,1,1,0,1,3,0,0
2016,6,Colima,Homicide,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Homicide,Women,not specified,1,0,0,1,0,0,0,0,0,2,0,0
2016,6,Colima,Other crimes that threaten life and bodily integrity,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Other crimes that threaten personal freedom,Women,not specified,2,1,4,0,0,0,0,0,1,0,0,0
2016,6,Colima,Homicide,Man,Minors (0-17),0,1,2,0,0,0,0,2,1,0,0,2
2016,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Homicide,Man,Minors (0-17),0,0,3,0,0,0,0,1,0,0,0,0
2016,6,Colima,Other crimes that threaten life and bodily integrity,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Other crimes that threaten personal freedom,Man,Minors (0-17),0,0,1,0,0,0,0,0,0,0,2,0
2016,6,Colima,Homicide,Man,Adults (18 and over),23,23,24,36,26,24,29,25,25,22,28,37
2016,6,Colima,Homicide,Man,Adults (18 and over),0,2,1,2,2,2,1,1,1,1,1,7
2016,6,Colima,Homicide,Man,Adults (18 and over),0,6,11,8,3,3,3,6,2,1,0,8
2016,6,Colima,Other crimes that threaten life and bodily integrity,Man,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),2,1,0,0,0,0,0,0,0,1,0,2
2016,6,Colima,Homicide,Man,not specified,2,5,3,4,6,3,6,7,3,6,17,7
2016,6,Colima,Homicide,Man,not specified,0,0,0,3,0,0,1,0,0,0,1,1
2016,6,Colima,Homicide,Man,not specified,2,5,2,14,3,1,6,3,10,8,6,0
2016,6,Colima,Other crimes that threaten life and bodily integrity,Man,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Other crimes that threaten personal freedom,Man,not specified,2,1,4,0,0,0,0,0,2,1,2,0
2016,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Homicide,Unidentified,Unidentified,1,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,1,0,0,0,0,0,0,0
2016,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,1,1,1,0,0,0,0,0,0,0,1,4
2017,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,1,1,0,0,0,0,0
2017,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2017,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten life and bodily integrity,Women,Minors (0-17),0,0,0,0,1,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),0,0,1,0,0,0,0,0,0,0,0,1
2017,6,Colima,Homicide,Women,Adults (18 and over),2,1,2,3,3,6,7,5,3,6,8,1
2017,6,Colima,Homicide,Women,Adults (18 and over),1,0,1,0,0,2,0,0,1,0,0,0
2017,6,Colima,Homicide,Women,Adults (18 and over),1,1,2,0,0,2,1,2,1,1,0,0
2017,6,Colima,Other crimes that threaten life and bodily integrity,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),0,2,1,4,2,0,0,3,0,1,2,1
2017,6,Colima,Homicide,Women,not specified,0,0,0,0,0,0,0,0,0,1,0,0
2017,6,Colima,Homicide,Women,not specified,0,0,1,0,0,0,0,0,0,0,0,0
2017,6,Colima,Homicide,Women,not specified,0,0,1,0,0,0,0,0,0,0,1,0
2017,6,Colima,Other crimes that threaten life and bodily integrity,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten personal freedom,Women,not specified,0,0,0,0,0,0,1,0,2,0,0,1
2017,6,Colima,Homicide,Man,Minors (0-17),2,0,1,0,1,3,0,1,1,1,2,1
2017,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,1,0,1,0,0,0,0
2017,6,Colima,Homicide,Man,Minors (0-17),0,0,0,1,0,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten life and bodily integrity,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten personal freedom,Man,Minors (0-17),1,0,0,0,0,0,0,1,0,0,0,0
2017,6,Colima,Homicide,Man,Adults (18 and over),52,11,27,27,41,59,58,32,30,53,51,65
2017,6,Colima,Homicide,Man,Adults (18 and over),10,2,4,0,7,9,6,7,3,1,5,5
2017,6,Colima,Homicide,Man,Adults (18 and over),3,1,5,0,1,14,6,6,7,6,1,3
2017,6,Colima,Other crimes that threaten life and bodily integrity,Man,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),5,1,9,5,5,0,9,1,0,5,1,0
2017,6,Colima,Homicide,Man,not specified,0,8,1,2,8,1,5,4,2,0,1,0
2017,6,Colima,Homicide,Man,not specified,0,0,1,0,0,0,7,1,2,1,0,0
2017,6,Colima,Homicide,Man,not specified,3,4,4,0,0,1,3,1,1,0,0,0
2017,6,Colima,Other crimes that threaten life and bodily integrity,Man,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten personal freedom,Man,not specified,1,7,2,0,0,0,2,1,4,0,2,0
2017,6,Colima,Homicide,Unidentified,Unidentified,6,3,2,4,0,0,2,0,0,0,0,7
2017,6,Colima,Homicide,Unidentified,Unidentified,3,2,1,0,0,0,0,0,0,0,0,0
2017,6,Colima,Homicide,Unidentified,Unidentified,4,5,1,0,0,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2017,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,1,0,0,2,0,0,0,0,0,0,0,0
2018,6,Colima,Homicide,Women,Minors (0-17),0,0,0,1,0,0,0,0,0,0,0,0
2018,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten life and bodily integrity,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),0,0,0,0,0,0,0,1,3,5,2,2
2018,6,Colima,Homicide,Women,Adults (18 and over),6,2,8,2,1,6,2,3,4,8,3,3
2018,6,Colima,Homicide,Women,Adults (18 and over),0,0,1,0,0,0,0,0,0,0,1,2
2018,6,Colima,Homicide,Women,Adults (18 and over),0,0,1,0,0,1,1,1,0,3,1,2
2018,6,Colima,Other crimes that threaten life and bodily integrity,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),1,0,0,0,4,3,1,1,1,1,0,0
2018,6,Colima,Homicide,Women,not specified,0,1,0,0,0,0,0,1,0,0,0,0
2018,6,Colima,Homicide,Women,not specified,0,0,0,0,1,0,0,0,0,0,0,0
2018,6,Colima,Homicide,Women,not specified,0,0,0,0,0,1,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten life and bodily integrity,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten personal freedom,Women,not specified,0,0,1,1,0,0,1,1,6,0,0,1
2018,6,Colima,Homicide,Man,Minors (0-17),2,1,2,1,0,2,2,0,2,0,1,1
2018,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten life and bodily integrity,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten personal freedom,Man,Minors (0-17),0,1,1,0,0,0,0,1,3,2,2,2
2018,6,Colima,Homicide,Man,Adults (18 and over),46,43,41,32,23,43,28,36,39,53,39,33
2018,6,Colima,Homicide,Man,Adults (18 and over),10,4,4,4,5,0,2,7,3,3,5,7
2018,6,Colima,Homicide,Man,Adults (18 and over),1,4,2,4,1,8,5,1,7,10,5,3
2018,6,Colima,Other crimes that threaten life and bodily integrity,Man,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),4,0,1,2,10,4,3,6,4,3,4,6
2018,6,Colima,Homicide,Man,not specified,2,3,2,4,11,0,3,1,1,1,2,3
2018,6,Colima,Homicide,Man,not specified,1,0,0,2,6,0,0,1,0,0,1,0
2018,6,Colima,Homicide,Man,not specified,0,0,0,0,6,0,0,1,3,0,0,0
2018,6,Colima,Other crimes that threaten life and bodily integrity,Man,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten personal freedom,Man,not specified,0,0,2,1,0,0,0,1,4,0,1,1
2018,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,2,0,0,0,0,0,0,0,0
2018,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2018,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,0,0,0,0,0,14,22,2,7,4,2,7
2019,6,Colima,Homicide,Women,Minors (0-17),0,1,0,0,2,0,0,0,0,1,0,0
2019,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Other crimes that threaten life and bodily integrity,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),3,3,6,9,3,8,11,13,10,12,10,1
2019,6,Colima,Homicide,Women,Adults (18 and over),0,7,2,2,2,8,3,6,6,0,5,2
2019,6,Colima,Homicide,Women,Adults (18 and over),0,1,0,0,1,0,0,0,0,0,0,0
2019,6,Colima,Homicide,Women,Adults (18 and over),1,1,1,0,1,1,0,0,0,1,0,0
2019,6,Colima,Other crimes that threaten life and bodily integrity,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),0,1,0,3,0,2,2,0,0,1,0,10
2019,6,Colima,Homicide,Women,not specified,5,0,1,0,1,3,2,0,3,1,2,1
2019,6,Colima,Homicide,Women,not specified,0,0,0,0,1,0,0,0,0,0,0,0
2019,6,Colima,Homicide,Women,not specified,0,0,0,0,0,0,0,0,1,0,0,0
2019,6,Colima,Other crimes that threaten life and bodily integrity,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Other crimes that threaten personal freedom,Women,not specified,2,3,2,0,0,0,0,1,1,1,2,2
2019,6,Colima,Homicide,Man,Minors (0-17),1,0,1,0,2,1,0,0,1,1,2,0
2019,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Other crimes that threaten life and bodily integrity,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Other crimes that threaten personal freedom,Man,Minors (0-17),4,10,5,5,5,6,10,11,4,7,7,8
2019,6,Colima,Homicide,Man,Adults (18 and over),36,30,24,35,28,23,35,42,28,22,40,28
2019,6,Colima,Homicide,Man,Adults (18 and over),5,1,6,0,1,0,3,0,0,1,1,1
2019,6,Colima,Homicide,Man,Adults (18 and over),5,3,7,2,0,0,0,3,1,3,0,2
2019,6,Colima,Other crimes that threaten life and bodily integrity,Man,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
