Year,Ent_Key,Entity,Type of crime,Sex,Age range,January,February,March,April,May,June,July,August,September,October,November,December
2019,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),0,3,2,8,6,3,3,2,2,0,0,2
2019,6,Colima,Homicide,Man,not specified,5,8,7,13,14,20,12,15,17,17,13,24
2019,6,Colima,Homicide,Man,not specified,0,0,2,2,5,1,0,1,3,3,3,1
2019,6,Colima,Homicide,Man,not specified,1,0,1,0,7,1,1,1,1,0,3,0
2019,6,Colima,Other crimes that threaten life and bodily integrity,Man,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Other crimes that threaten personal freedom,Man,not specified,2,4,2,1,0,1,3,2,6,3,4,1
2019,6,Colima,Homicide,Unidentified,Unidentified,1,0,0,0,0,0,0,0,2,0,0,0
2019,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,1,0,0
2019,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,1,0,0,0
2019,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,10,4,2,8,15,5,6,6,3,6,8,5
2020,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,1,0,0,0,0,0
2020,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten life and bodily integrity,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),9,10,18,5,10,16,7,0,13,14,12,13
2020,6,Colima,Homicide,Women,Adults (18 and over),3,5,2,4,1,5,0,3,1,2,1,2
2020,6,Colima,Homicide,Women,Adults (18 and over),0,1,0,0,0,0,2,0,0,0,1,1
2020,6,Colima,Homicide,Women,Adults (18 and over),0,1,1,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten life and bodily integrity,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),0,0,0,0,0,1,0,1,2,1,1,0
2020,6,Colima,Homicide,Women,not specified,4,1,4,5,3,2,1,3,2,7,2,2
2020,6,Colima,Homicide,Women,not specified,0,0,1,1,0,0,0,1,0,0,0,0
2020,6,Colima,Homicide,Women,not specified,2,0,1,0,0,1,1,0,4,2,2,1
2020,6,Colima,Other crimes that threaten life and bodily integrity,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten personal freedom,Women,not specified,0,0,1,1,0,0,1,15,2,3,1,2
2020,6,Colima,Homicide,Man,Minors (0-17),0,0,0,1,0,0,0,0,0,0,0,0
2020,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten life and bodily integrity,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten personal freedom,Man,Minors (0-17),13,4,12,7,5,7,9,0,8,0,10,9
2020,6,Colima,Homicide,Man,Adults (18 and over),30,33,29,22,38,18,16,11,16,19,16,10
2020,6,Colima,Homicide,Man,Adults (18 and over),1,0,0,2,2,0,0,2,1,1,1,4
2020,6,Colima,Homicide,Man,Adults (18 and over),1,0,0,0,0,2,0,0,0,0,1,1
2020,6,Colima,Other crimes that threaten life and bodily integrity,Man,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),3,6,3,1,3,3,3,6,4,7,4,2
2020,6,Colima,Homicide,Man,not specified,30,17,18,18,11,13,13,7,6,12,18,14
2020,6,Colima,Homicide,Man,not specified,0,3,1,3,3,0,2,1,3,4,5,4
2020,6,Colima,Homicide,Man,not specified,3,1,1,0,2,1,1,2,5,3,7,5
2020,6,Colima,Other crimes that threaten life and bodily integrity,Man,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten personal freedom,Man,not specified,0,2,1,1,1,1,1,10,0,4,6,2
2020,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,2,0,0,0,0,0,0
2020,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,1
2020,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,1,0,0,0,0,0,2,0,0
2020,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2020,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,10,1,9,11,7,6,7,6,8,5,1,4
2021,6,Colima,Homicide,Women,Minors (0-17),0,0,0,1,0,0,0,0,0,0,0,0
2021,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,1,0,0,0,0,0
2021,6,Colima,Other crimes that threaten life and bodily integrity,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),15,11,7,14,9,14,13,14,17,8,3,9
2021,6,Colima,Homicide,Women,Adults (18 and over),0,1,1,2,3,0,1,0,1,1,1,0
2021,6,Colima,Homicide,Women,Adults (18 and over),0,1,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Homicide,Women,Adults (18 and over),0,0,0,0,0,1,2,0,0,0,1,0
2021,6,Colima,Other crimes that threaten life and bodily integrity,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),0,0,0,1,2,1,2,3,0,0,0,3
2021,6,Colima,Homicide,Women,not specified,3,2,3,1,1,1,1,1,2,0,1,1
2021,6,Colima,Homicide,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Homicide,Women,not specified,1,1,0,0,0,0,0,1,1,0,0,0
2021,6,Colima,Other crimes that threaten life and bodily integrity,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Other crimes that threaten personal freedom,Women,not specified,5,1,2,2,1,2,0,1,2,2,1,0
2021,6,Colima,Homicide,Man,Minors (0-17),1,0,0,0,0,0,0,0,0,2,0,0
2021,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,1,0,0
2021,6,Colima,Other crimes that threaten life and bodily integrity,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Other crimes that threaten personal freedom,Man,Minors (0-17),6,6,9,9,6,12,5,6,8,9,5,11
2021,6,Colima,Homicide,Man,Adults (18 and over),21,20,15,9,16,12,15,14,19,19,10,11
2021,6,Colima,Homicide,Man,Adults (18 and over),2,4,2,0,0,2,1,1,0,0,0,0
2021,6,Colima,Homicide,Man,Adults (18 and over),2,1,1,0,0,1,1,1,1,2,1,0
2021,6,Colima,Other crimes that threaten life and bodily integrity,Man,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),2,1,1,1,6,1,5,1,5,2,3,6
2021,6,Colima,Homicide,Man,not specified,13,14,18,22,13,18,18,18,14,11,15,19
2021,6,Colima,Homicide,Man,not specified,2,2,0,1,2,7,0,0,3,1,1,3
2021,6,Colima,Homicide,Man,not specified,8,8,3,4,7,3,2,2,2,3,0,3
2021,6,Colima,Other crimes that threaten life and bodily integrity,Man,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Other crimes that threaten personal freedom,Man,not specified,2,1,5,4,4,5,0,6,8,3,6,0
2021,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,2
2021,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,1
2021,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2021,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,3,4,4,2,1,4,3,6,3,1,4,4
2022,6,Colima,Homicide,Women,Minors (0-17),0,0,0,1,0,0,0,1,0,1,0,0
2022,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Other crimes that threaten life and bodily integrity,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),13,9,15,9,11,11,6,10,8,5,5,4
2022,6,Colima,Homicide,Women,Adults (18 and over),0,0,2,7,5,7,0,3,2,5,3,4
2022,6,Colima,Homicide,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Homicide,Women,Adults (18 and over),0,0,0,0,0,0,0,1,0,0,1,2
2022,6,Colima,Other crimes that threaten life and bodily integrity,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),0,2,2,2,0,3,0,1,3,1,1,1
2022,6,Colima,Homicide,Women,not specified,0,3,5,1,6,2,5,2,4,6,1,2
2022,6,Colima,Homicide,Women,not specified,0,0,0,0,0,2,0,0,0,0,0,0
2022,6,Colima,Homicide,Women,not specified,0,0,1,0,0,0,1,0,1,0,0,0
2022,6,Colima,Other crimes that threaten life and bodily integrity,Women,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Other crimes that threaten personal freedom,Women,not specified,1,0,2,3,2,1,2,0,1,2,0,0
2022,6,Colima,Homicide,Man,Minors (0-17),1,1,1,0,4,0,0,3,0,1,1,0
2022,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Homicide,Man,Minors (0-17),0,0,1,0,0,0,1,0,0,2,0,0
2022,6,Colima,Other crimes that threaten life and bodily integrity,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Other crimes that threaten personal freedom,Man,Minors (0-17),12,4,8,5,3,5,8,6,5,8,6,4
2022,6,Colima,Homicide,Man,Adults (18 and over),17,21,27,41,43,30,11,24,34,34,25,26
2022,6,Colima,Homicide,Man,Adults (18 and over),0,1,2,0,2,0,1,0,0,1,0,0
2022,6,Colima,Homicide,Man,Adults (18 and over),1,0,1,3,1,5,0,1,2,2,2,0
2022,6,Colima,Other crimes that threaten life and bodily integrity,Man,Adults (18 and over),0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),2,3,4,4,4,1,1,5,6,2,3,5
2022,6,Colima,Homicide,Man,not specified,20,37,38,21,24,9,23,20,24,24,20,21
2022,6,Colima,Homicide,Man,not specified,0,2,8,1,1,1,0,0,1,1,3,0
2022,6,Colima,Homicide,Man,not specified,8,5,9,7,7,11,13,11,3,10,3,6
2022,6,Colima,Other crimes that threaten life and bodily integrity,Man,not specified,0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Other crimes that threaten personal freedom,Man,not specified,3,4,3,2,1,3,4,7,1,4,4,3
2022,6,Colima,Homicide,Unidentified,Unidentified,1,0,0,0,0,0,0,1,0,0,0,3
2022,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,1,2,0,5,0,0,0,0
2022,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0
2022,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,2,3,7,11,14,10,4,2,6,3,10,6
2023,6,Colima,Homicide,Women,Minors (0-17),0,0,0,1,0,0,0,0,0,,,
2023,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Homicide,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Women,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Women,Minors (0-17),8,7,13,11,12,9,10,12,6,,,
2023,6,Colima,Homicide,Women,Adults (18 and over),9,2,4,7,4,6,4,1,0,,,
2023,6,Colima,Homicide,Women,Adults (18 and over),0,0,0,0,0,0,1,0,0,,,
2023,6,Colima,Homicide,Women,Adults (18 and over),0,0,0,0,1,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Women,Adults (18 and over),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Women,Adults (18 and over),0,0,2,3,0,1,1,0,0,,,
2023,6,Colima,Homicide,Women,not specified,3,0,4,5,5,1,3,6,13,,,
2023,6,Colima,Homicide,Women,not specified,0,0,0,0,0,0,1,0,0,,,
2023,6,Colima,Homicide,Women,not specified,0,1,0,0,1,1,0,2,1,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Women,not specified,0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Women,not specified,0,1,2,2,1,5,0,1,4,,,
2023,6,Colima,Homicide,Man,Minors (0-17),2,0,1,0,0,0,2,0,2,,,
2023,6,Colima,Homicide,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Homicide,Man,Minors (0-17),0,2,0,0,0,1,0,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Man,Minors (0-17),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Man,Minors (0-17),5,3,6,6,5,13,8,6,9,,,
2023,6,Colima,Homicide,Man,Adults (18 and over),28,17,40,27,34,27,20,9,65,,,
2023,6,Colima,Homicide,Man,Adults (18 and over),1,0,1,0,0,0,0,0,0,,,
2023,6,Colima,Homicide,Man,Adults (18 and over),4,2,1,2,4,1,0,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Man,Adults (18 and over),0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Man,Adults (18 and over),0,2,1,3,2,4,3,0,0,,,
2023,6,Colima,Homicide,Man,not specified,17,13,25,21,25,18,39,55,0,,,
2023,6,Colima,Homicide,Man,not specified,0,1,0,1,5,0,2,0,3,,,
2023,6,Colima,Homicide,Man,not specified,4,4,5,8,9,4,7,4,4,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Man,not specified,0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Man,not specified,0,0,4,2,1,3,3,1,5,,,
2023,6,Colima,Homicide,Unidentified,Unidentified,1,1,0,2,1,0,0,1,1,,,
2023,6,Colima,Homicide,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Homicide,Unidentified,Unidentified,0,1,0,0,2,1,3,0,0,,,
2023,6,Colima,Other crimes that threaten life and bodily integrity,Unidentified,Unidentified,0,0,0,0,0,0,0,0,0,,,
2023,6,Colima,Other crimes that threaten personal freedom,Unidentified,Unidentified,11,5,8,6,6,1,7,8,8,,,
