Year,Entity,Crime subtype,Sex,January,February,March,April,May,June,July,August,September,October,November,December,Total Homicides Per Year
2015,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,1,0,
2015,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Women,2,2,2,0,0,0,2,0,0,0,0,1,
2015,Colima,Homicide,Women,0,1,0,0,0,0,0,0,0,0,0,1,
2015,Colima,Homicide,Women,1,1,0,0,0,0,0,0,1,0,0,0,
2015,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,1,
2015,Colima,Homicide,Man,0,1,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Man,0,0,0,0,0,0,0,0,2,0,0,0,
2015,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Man,9,4,9,6,11,9,7,6,13,15,18,16,
2015,Colima,Homicide,Man,1,2,1,0,0,0,0,1,3,1,2,2,
2015,Colima,Homicide,Man,0,1,0,1,0,0,1,3,0,0,2,6,
2015,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,1,
2015,Colima,Homicide,Man,0,0,0,0,1,0,0,0,3,2,0,0,
2015,Colima,Homicide,Man,0,0,0,0,0,1,0,0,0,0,0,1,
2015,Colima,Homicide,Man,0,0,0,0,0,1,0,0,0,0,1,1,
2015,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,2,1,
2015,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2015,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,13,12,12,7,12,11,10,10,22,18,26,31,184
2016,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,1,
2016,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Women,0,1,3,3,1,3,0,2,5,1,2,2,
2016,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Women,0,1,1,0,0,0,1,0,0,0,0,1,
2016,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Women,0,0,0,0,0,1,1,0,1,3,0,0,
2016,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Women,1,0,0,1,0,0,0,0,0,2,0,0,
2016,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Man,0,1,2,0,0,0,0,2,1,0,0,2,
2016,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Man,0,0,3,0,0,0,0,1,0,0,0,0,
2016,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Man,23,23,24,36,26,24,29,25,25,22,28,37,
2016,Colima,Homicide,Man,0,2,1,2,2,2,1,1,1,1,1,7,
2016,Colima,Homicide,Man,0,6,11,8,3,3,3,6,2,1,0,8,
2016,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Man,2,5,3,4,6,3,6,7,3,6,17,7,
2016,Colima,Homicide,Man,0,0,0,3,0,0,1,0,0,0,1,1,
2016,Colima,Homicide,Man,2,5,2,14,3,1,6,3,10,8,6,0,
2016,Colima,Homicide,Man,0,0,0,0,0,0,1,0,0,0,0,1,
2016,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Unidentified,1,0,0,0,0,0,0,0,0,0,0,0,
2016,Colima,Homicide,Unidentified,0,0,0,0,1,0,0,0,0,0,0,0,
2016,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,29,44,50,71,42,37,49,47,48,44,55,67,583
2017,Colima,Homicide,Women,0,0,0,0,0,1,1,0,0,0,0,0,
2017,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Women,2,1,2,3,3,6,7,5,3,6,8,1,
2017,Colima,Homicide,Women,1,0,1,0,0,2,0,0,1,0,0,0,
2017,Colima,Homicide,Women,1,1,2,0,0,2,1,2,1,1,0,0,
2017,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,1,0,0,
2017,Colima,Homicide,Women,0,0,1,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Women,0,0,1,0,0,0,0,0,0,0,1,0,
2017,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Man,2,0,1,0,1,3,0,1,1,1,2,1,
2017,Colima,Homicide,Man,0,0,0,0,0,1,0,1,0,0,0,0,
2017,Colima,Homicide,Man,0,0,0,1,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Man,52,11,27,27,41,59,58,32,30,53,51,65,
2017,Colima,Homicide,Man,10,2,4,0,7,9,6,7,3,1,5,5,
2017,Colima,Homicide,Man,3,1,5,0,1,14,6,6,7,6,1,3,
2017,Colima,Homicide,Man,0,0,1,0,0,0,0,0,0,1,1,3,
2017,Colima,Homicide,Man,0,8,1,2,8,1,5,4,2,0,1,0,
2017,Colima,Homicide,Man,0,0,1,0,0,0,7,1,2,1,0,0,
2017,Colima,Homicide,Man,3,4,4,0,0,1,3,1,1,0,0,0,
2017,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Unidentified,6,3,2,4,0,0,2,0,0,0,0,7,
2017,Colima,Homicide,Unidentified,3,2,1,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Unidentified,4,5,1,0,0,0,0,0,0,0,0,0,
2017,Colima,Homicide,Unidentified,0,3,0,0,0,0,0,0,0,0,0,0,
,,,,87,41,55,37,61,99,96,60,51,71,70,85,813
2018,Colima,Homicide,Women,0,0,0,1,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Women,6,2,8,2,1,6,2,3,4,8,3,3,
2018,Colima,Homicide,Women,0,0,1,0,0,0,0,0,0,0,1,2,
2018,Colima,Homicide,Women,0,0,1,0,0,1,1,1,0,3,1,2,
2018,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Women,0,1,0,0,0,0,0,1,0,0,0,0,
2018,Colima,Homicide,Women,0,0,0,0,1,0,0,0,0,0,0,0,
2018,Colima,Homicide,Women,0,0,0,0,0,1,0,0,0,0,0,0,
2018,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Man,2,1,2,1,0,2,2,0,2,0,1,1,
2018,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Man,46,43,41,32,23,43,28,36,39,53,39,33,
2018,Colima,Homicide,Man,10,4,4,4,5,0,2,7,3,3,5,7,
2018,Colima,Homicide,Man,1,4,2,4,1,8,5,1,7,10,5,3,
2018,Colima,Homicide,Man,2,1,0,0,0,0,0,2,0,0,0,0,
2018,Colima,Homicide,Man,2,3,2,4,11,0,3,1,1,1,2,3,
2018,Colima,Homicide,Man,1,0,0,2,6,0,0,1,0,0,1,0,
2018,Colima,Homicide,Man,0,0,0,0,6,0,0,1,3,0,0,0,
2018,Colima,Homicide,Man,0,1,0,0,3,0,1,0,0,0,0,0,
2018,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Unidentified,0,0,0,2,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2018,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,70,60,61,52,57,61,44,54,59,78,58,54,708
2019,Colima,Homicide,Women,0,1,0,0,2,0,0,0,0,1,0,0,
2019,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2019,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2019,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2019,Colima,Homicide,Women,0,7,2,2,2,8,3,6,6,0,5,2,
2019,Colima,Homicide,Women,0,1,0,0,1,0,0,0,0,0,0,0,
2019,Colima,Homicide,Women,1,1,1,0,1,1,0,0,0,1,0,0,
2019,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2019,Colima,Homicide,Women,5,0,1,0,1,3,2,0,3,1,2,1,
2019,Colima,Homicide,Women,0,0,0,0,1,0,0,0,0,0,0,0,
2019,Colima,Homicide,Women,0,0,0,0,0,0,0,0,1,0,0,0,
2019,Colima,Homicide,Women,0,0,0,1,0,0,1,0,2,0,0,2,
2019,Colima,Homicide,Man,1,0,1,0,2,1,0,0,1,1,2,0,
2019,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2019,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2019,Colima,Homicide,Man,1,0,0,0,0,0,0,0,0,0,0,0,
2019,Colima,Homicide,Man,36,30,24,35,28,23,35,42,28,22,40,28,
2019,Colima,Homicide,Man,5,1,6,0,1,0,3,0,0,1,1,1,
2019,Colima,Homicide,Man,5,3,7,2,0,0,0,3,1,3,0,2,
2019,Colima,Homicide,Man,0,0,3,0,0,1,1,0,2,0,0,1,
2019,Colima,Homicide,Man,5,8,7,13,14,20,12,15,17,17,13,24,
2019,Colima,Homicide,Man,0,0,2,2,5,1,0,1,3,3,3,1,
2019,Colima,Homicide,Man,1,0,1,0,7,1,1,1,1,0,3,0,
2019,Colima,Homicide,Man,1,1,3,2,2,1,5,1,1,2,0,7,
2019,Colima,Homicide,Unidentified,1,0,0,0,0,0,0,0,2,0,0,0,
2019,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,1,0,0,
2019,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,1,0,0,0,
2019,Colima,Homicide,Unidentified,0,0,0,0,0,0,1,0,0,0,0,0,
,,,,62,53,58,57,67,60,64,69,69,53,69,69,750
2020,Colima,Homicide,Women,0,0,0,0,0,0,1,0,0,0,0,0,
2020,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Women,3,5,2,4,1,5,0,3,1,2,1,2,
2020,Colima,Homicide,Women,0,1,0,0,0,0,2,0,0,0,1,1,
2020,Colima,Homicide,Women,0,1,1,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Women,4,1,4,5,3,2,1,3,2,7,2,2,
2020,Colima,Homicide,Women,0,0,1,1,0,0,0,1,0,0,0,0,
2020,Colima,Homicide,Women,2,0,1,0,0,1,1,0,4,2,2,1,
2020,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Man,0,0,0,1,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Man,30,33,29,22,38,18,16,11,16,19,16,10,
2020,Colima,Homicide,Man,1,0,0,2,2,0,0,2,1,1,1,4,
2020,Colima,Homicide,Man,1,0,0,0,0,2,0,0,0,0,1,1,
2020,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2020,Colima,Homicide,Man,30,17,18,18,11,13,13,7,6,12,18,14,
2020,Colima,Homicide,Man,0,3,1,3,3,0,2,1,3,4,5,4,
2020,Colima,Homicide,Man,3,1,1,0,2,1,1,2,5,3,7,5,
2020,Colima,Homicide,Man,0,0,1,0,0,8,1,0,2,2,2,0,
2020,Colima,Homicide,Unidentified,0,0,0,0,0,2,0,0,0,0,0,0,
2020,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,1,
2020,Colima,Homicide,Unidentified,0,0,0,1,0,0,0,0,0,2,0,0,
2020,Colima,Homicide,Unidentified,0,1,0,1,0,0,0,0,1,0,0,0,
,,,,74,63,59,58,60,52,38,30,41,54,56,45,630
2021,Colima,Homicide,Women,0,0,0,1,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Women,0,0,0,0,0,0,1,0,0,0,0,0,
2021,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Women,0,1,1,2,3,0,1,0,1,1,1,0,
2021,Colima,Homicide,Women,0,1,0,0,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Women,0,0,0,0,0,1,2,0,0,0,1,0,
2021,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Women,3,2,3,1,1,1,1,1,2,0,1,1,
2021,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Women,1,1,0,0,0,0,0,1,1,0,0,0,
2021,Colima,Homicide,Women,0,0,1,0,0,0,1,0,0,0,0,0,
2021,Colima,Homicide,Man,1,0,0,0,0,0,0,0,0,2,0,0,
2021,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,1,0,0,
2021,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Man,21,20,15,9,16,12,15,14,19,19,10,11,
2021,Colima,Homicide,Man,2,4,2,0,0,2,1,1,0,0,0,0,
2021,Colima,Homicide,Man,2,1,1,0,0,1,1,1,1,2,1,0,
2021,Colima,Homicide,Man,0,3,0,0,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Man,13,14,18,22,13,18,18,18,14,11,15,19,
2021,Colima,Homicide,Man,2,2,0,1,2,7,0,0,3,1,1,3,
2021,Colima,Homicide,Man,8,8,3,4,7,3,2,2,2,3,0,3,
2021,Colima,Homicide,Man,0,2,0,0,0,0,0,0,0,0,0,1,
2021,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,2,
2021,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2021,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,1,
2021,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,53,59,44,40,42,45,43,38,43,40,30,41,518
2022,Colima,Homicide,Women,0,0,0,1,0,0,0,1,0,1,0,0,
2022,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Colima,Homicide,Women,0,0,2,7,5,7,0,3,2,5,3,4,
2022,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Colima,Homicide,Women,0,0,0,0,0,0,0,1,0,0,1,2,
2022,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Colima,Homicide,Women,0,3,5,1,6,2,5,2,4,6,1,2,
2022,Colima,Homicide,Women,0,0,0,0,0,2,0,0,0,0,0,0,
2022,Colima,Homicide,Women,0,0,1,0,0,0,1,0,1,0,0,0,
2022,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Colima,Homicide,Man,1,1,1,0,4,0,0,3,0,1,1,0,
2022,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Colima,Homicide,Man,0,0,1,0,0,0,1,0,0,2,0,0,
2022,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Colima,Homicide,Man,17,21,27,41,43,30,11,24,34,34,25,26,
2022,Colima,Homicide,Man,0,1,2,0,2,0,1,0,0,1,0,0,
2022,Colima,Homicide,Man,1,0,1,3,1,5,0,1,2,2,2,0,
2022,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,1,
2022,Colima,Homicide,Man,20,37,38,21,24,9,23,20,24,24,20,21,
2022,Colima,Homicide,Man,0,2,8,1,1,1,0,0,1,1,3,0,
2022,Colima,Homicide,Man,8,5,9,7,7,11,13,11,3,10,3,6,
2022,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,1,0,
2022,Colima,Homicide,Unidentified,1,0,0,0,0,0,0,1,0,0,0,3,
2022,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2022,Colima,Homicide,Unidentified,0,0,0,0,1,2,0,5,0,0,0,0,
2022,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,48,70,95,82,94,69,55,72,71,87,60,65,868
2023,Colima,Homicide,Women,0,0,0,1,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Women,9,2,4,7,4,6,4,1,0,0,0,0,
2023,Colima,Homicide,Women,0,0,0,0,0,0,1,0,0,0,0,0,
2023,Colima,Homicide,Women,0,0,0,0,1,0,0,0,0,0,0,0,
2023,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Women,3,0,4,5,5,1,3,6,13,0,0,0,
2023,Colima,Homicide,Women,0,0,0,0,0,0,1,0,0,0,0,0,
2023,Colima,Homicide,Women,0,1,0,0,1,1,0,2,1,0,0,0,
2023,Colima,Homicide,Women,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,2,0,1,0,0,0,2,0,2,0,0,0,
2023,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,0,2,0,0,0,1,0,0,0,0,0,0,
2023,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,28,17,40,27,34,27,20,9,65,0,0,0,
2023,Colima,Homicide,Man,1,0,1,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,4,2,1,2,4,1,0,0,0,0,0,0,
2023,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Man,17,13,25,21,25,18,39,55,0,0,0,0,
2023,Colima,Homicide,Man,0,1,0,1,5,0,2,0,3,0,0,0,
2023,Colima,Homicide,Man,4,4,5,8,9,4,7,4,4,0,0,0,
2023,Colima,Homicide,Man,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Unidentified,1,1,0,2,1,0,0,1,1,0,0,0,
2023,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
2023,Colima,Homicide,Unidentified,0,1,0,0,2,1,3,0,0,0,0,0,
2023,Colima,Homicide,Unidentified,0,0,0,0,0,0,0,0,0,0,0,0,
,,,,69,44,81,74,91,60,82,78,89,0,0,0,599
total,,,,,,,,,,,,,,,,5653
